remote_host,time_received_isoformat,request_method,request_url_path,request_url_query,status,request_header_user_agent
9,2015-07-08T00:00:55,GET,/ism/slavery/slave-stories/images/header.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:55,GET,/ism/slavery/slave-stories/images/bg.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:55,GET,/ism/slavery/slave-stories/images/nav/kofi.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:55,GET,/ism/slavery/slave-stories/images/footer.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:55,GET,/ism/slavery/slave-stories/images/compass.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:55,GET,/ism/slavery/slave-stories/images/next.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:55,GET,/ism/slavery/slave-stories/images/content-bg.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:57,GET,/ism/slavery/slave-stories/images/nav/oyeladun.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:57,GET,/ism/slavery/slave-stories/images/right-curl.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
9,2015-07-08T00:00:58,GET,/ism/slavery/slave-stories/images/previous.png,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4"
10,2015-07-08T00:01:04,GET,/mol/exhibitions/yoursfaithfully/graphics/hindi_dancing.jpg,,200,"Mozilla/5.0 (Linux; Android 5.0; SM-G900F Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.93 Mobile Safari/537.36"
11,2015-07-08T00:01:05,GET,/favicon.ico,,200,Mozilla/5.0 (Windows NT 6.1; rv:39.0) Gecko/20100101 Firefox/39.0
12,2015-07-08T00:01:07,GET,/ladylever/exhibitions/masterpiece/images/large/constable_stratford_st_mary.jpg,,200,"Mozilla/5.0 (iPad; CPU OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25"
13,2015-07-08T00:01:15,GET,/conservation/departments/paintings/richardwright/background.aspx,,200,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.34 Safari/534.24"
2,2015-07-08T00:01:22,GET,/wml/index.aspx,,200,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko
14,2015-07-08T00:01:23,GET,/mol/collections/transport/graphics/large/lion_locomotive.jpg,,200,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
15,2015-07-08T00:01:25,GET,/walker/johnmoores/recent-exhibitions/25/graphics/large/alex_gene_morrison.jpg,,200,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0
16,2015-07-08T00:01:32,GET,/walker/exhibitions/reality/,,200,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1
17,2015-07-08T00:01:40,GET,/about/mediacentre/index.aspx,tagid=49&NewsListing_SyndicationType=1,200,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.66 Safari/537.36"
18,2015-07-08T00:01:47,GET,/walker/exhibitions/celebrity/graphics/catherine-zeta-jones.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4"
19,2015-07-08T00:01:50,GET,/wml/collections/botany/graphics/non-flowering-fungi.jpg,,200,Mozilla/5.0 (compatible; GWPImages/1.0)
20,2015-07-08T00:01:51,GET,/mol/events/displayevent.aspx,eventID=22949,200,Mozilla/5.0 (compatible; ScoutJet; +http://www.scoutjet.com/)
2,2015-07-08T00:01:53,GET,/wml/index.aspx,,200,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko
21,2015-07-08T00:01:57,GET,/collections/item.aspx,tab=map&item=50.31.152&coll=1&page=1&themeId=6&expand=51033,200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
21,2015-07-08T00:01:57,GET,/collections/script/map.js,,200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
22,2015-07-08T00:02:03,GET,/online/featuredartists/rossetti/,,301,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US)
22,2015-07-08T00:02:06,GET,/about/collections/featured-artists/,,200,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US)
21,2015-07-08T00:02:15,GET,/collections/item.aspx,tab=info&item=50.31.152&coll=1&page=1&themeId=6&expand=51033,200,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36"
23,2015-07-08T00:02:15,GET,/conservation/exhibitions/bestdressedmen/images/orlando-bloom.jpg,,200,"Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4"
2,2015-07-08T00:02:23,GET,/wml/index.aspx,,200,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko
23,2015-07-08T00:02:23,GET,/conservation/exhibitions/bestdressedmen/images/orlando-bloom.jpg,,200,"Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4"
24,2015-07-08T00:02:27,GET,/maritime/visit/floor-plan/lusitania/people/peoples-stories.aspx,id=15457,200,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/5.0)
25,2015-07-08T00:02:31,GET,/sudley/collections/library/emma_anne_westcott.aspx,,200,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
26,2015-07-08T00:02:31,GET,/sudley/collections/library/elizabeth_holt_henry.aspx,,200,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.90 Safari/537.36"
27,2015-07-08T00:02:33,GET,/mol/exhibitions/hair/,,200,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.16 Safari/537.36"
28,2015-07-08T00:02:39,GET,/conservation/departments/graphics/large/egyptian-papyrus.jpg,,200,"Mozilla/5.0 (Linux; Android 4.4.2; en-ca; SM-G386W Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/1.6 Chrome/28.0.1500.94 Mobile Safari/537.36"
29,2015-07-08T00:02:40,GET,/maritime/exhibitions/dazzle-ship/first-world-war-dazzle-ships.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53"
30,2015-07-08T00:02:40,GET,/maritime/visit/floor-plan/lusitania/people/peoples-stories.aspx,id=15457,200,Mozilla/5.0 (compatible; Windows; U; Windows NT 6.2; WOW64; en-US; rv:12.0) Gecko/20120403211507 Firefox/12.0
31,2015-07-08T00:02:47,GET,/mol/visit/galleries/wondrous/lightbox-writing/brookside-cast-post-echo.jpg,,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4"
32,2015-07-08T00:02:53,GET,/ladylever/collections/paintings/gallery3/girlwithdogs.aspx,,200,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36"
32,2015-07-08T00:02:53,GET,/SiteElements/redesign-implementation/css/210-general.css,version=154453?version=154453,200,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36"
32,2015-07-08T00:02:53,GET,/SiteElements/redesign-implementation/css/200-brand_llag.css,version=159328?version=159328,200,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36"
32,2015-07-08T00:02:53,GET,/SiteElements/redesign-implementation/scripts/jquery.tweet.js,build=821653,200,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36"
